"Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP"
"7/5/2022 1:25 pm,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,""Logon"",System-wide,,,,,,,,,,,"
"12/4/1998 5:34 pm,""HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms"",""rdpclip"",enabled,""Logon"",System-wide,""RDP Clipboard Monitor"",""Microsoft Corporation"",""c:\windows\system32\rdpclip.exe"",10.0.22621.5262,""rdpclip"",4B9E93CC1E606E92873D0BE93F911B9B,5BF2E2B76409A12149D25F1C54E1D3A869492DE4,8E08BDF14EC87234C8A5E67FC3D04EA284698858,255EAA6DB2F3EBC24A0235872819507BBA03F8132D668661178B9289D3CD4457,6CFB7EB91B991B6B4799BE24EE46E6B7903F03BDFB1D3CCA8FDC63DB5F8A5846,E0421433DEFCAD674F59DB8672487C3D"
"1/8/2025 4:12 pm,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit,,,""Logon"",System-wide,,,,,,,,,,,"
"8/10/2031 3:08 pm,""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit"",""C:\windows\system32\userinit.exe"",enabled,""Logon"",System-wide,""Userinit Logon Application"",""Microsoft Corporation"",""c:\windows\system32\userinit.exe"",10.0.22621.5262,""C:\windows\system32\userinit.exe"",6A26DDC299BFE2E082A60BD92096B0D2,893E097060A5897AE92A9C1E2D1A41D630789736,FD933EE7ECD9A808397682AFE9ADBF510D2D3668,DC2BFBD60FEEDE8ADAA16FAACBD8C95F08BF6BF741B6DFA394D355BF83FDC18E,5417827079FBEA3F907982E049FEADCCDC6A190ECA28B0B377D1FA08AD643245,5BE3D2507609402BA233B83F417E36C4"
"1/8/2025 4:12 pm,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,,,""Logon"",System-wide,,,,,,,,,,,"
"27/10/1909 11:12 am,""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet"",""SystemPropertiesPerformance.exe"",enabled,""Logon"",System-wide,""Change Computer Performance Settings"",""Microsoft Corporation"",""c:\windows\system32\systempropertiesperformance.exe"",10.0.22621.1,""SystemPropertiesPerformance.exe"",14465EE40EFD221FF7E8B811CE905111,AF25A28052CB8CA7F89036FE96B9D532D9911A1B,3962F0A6B7F3C2598C5AC161599DF949D600B485,F00FA39330F1973B1FE4F174FECE670B9372FFA556BE81CA62E34D627BB6DCC3,CBAB585E48746B4E40B876475BAB062EE78BA45BABA8C40D152F5316B60ADD11,835402499FB5903791DBBE73881263B5"
"1/8/2025 4:12 pm,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,""Logon"",System-wide,,,,,,,,,,,"
"12/3/2036 11:30 pm,""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell"",""explorer.exe"",enabled,""Logon"",System-wide,""Windows Explorer"",""Microsoft Corporation"",""c:\windows\explorer.exe"",10.0.22621.5331,""explorer.exe"",C03090E06E091AAD182B85B2C33499B8,4C11F64A4DD34D981C647EDCA19E91BA71E49AD0,767586ADBF2A19A6ACC858D58E110DFD77D0788A,803CE6F72144C7E8E2E8B53FA00CEDA159653CF0F382183B37155D617726BBC6,E62149D794B9AA8980B70DDB6D2C2267E4FB61C7D0CB1C262488D002A541B4B3,CE6ABE31D05BBEA134E529DDBA22B96F"
"7/5/2022 1:25 pm,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,""Logon"",System-wide,,,,,,,,,,,"
"23/2/1937 6:35 pm,""HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell"",""cmd.exe"",enabled,""Logon"",System-wide,""Windows Command Processor"",""Microsoft Corporation"",""c:\windows\system32\cmd.exe"",10.0.22621.5262,""cmd.exe"",038383652CB25005539479C8B0F7D1D3,55A84779224327C0D6FE8692BC5BCDDACA34AC2E,9CBF4B91FF662B730E56851B1887D5CC480567A3,93A672AF612F0B459E14FEE47544FAF31B82A2AE6C90B0B4C5BF83D90CAF5F54,5420E5F25A0870677AEFF6E7555714B97D1391BF24F3FF7DA28413B91A21E5A0,139E6EEC8CBBC5562C4A148515C0146C"
