"﻿""Time""",Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP,PSComputerName
1/27/2023 7:22 PM,HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute,,,Boot Execute,System-wide,,,,,,,,,,,,,rd03.shieldbase.com
5/1/1993 10:16 AM,HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute,autocheck autochk *,enabled,Boot Execute,System-wide,Auto Check Utility,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\autochk.exe,10.0.22000.653,autocheck autochk *,D851C66B3C6561F79BAD54FB42F8274C,6FEB0F1D59209A4D3A20115E64D588A4F84A2711,5E72D8E9DBA1994DD7945461C1BE6BFD9728E00B,9FD9DA3E1B0E42128FFB9E9418EB0F05A4B7DB4DA0828E9035022974A6709DD5,5E29A9BDB75648080F2CC563164C60A0AC1C76DF1C3FFBD475066A89B6F92CCC,020B9CFBEF6C56682225F237706926B0,rd03.shieldbase.com
8/31/2022 3:34 PM,HKLM\SOFTWARE\Classes\Htmlfile\Shell\Open\Command\(Default),,,Hijacks,System-wide,,,,,,,,,,,,,rd03.shieldbase.com
6/7/1979 1:23 PM,HKLM\SOFTWARE\Classes\Htmlfile\Shell\Open\Command\(Default),C:\Program Files\Internet Explorer\iexplore.exe,enabled,Hijacks,System-wide,Internet Explorer,(Verified) Microsoft Corporation,Microsoft Corporation,c:\program files\internet explorer\iexplore.exe,11.0.22000.120,,65A9EED4730752578861699BC945B3BF,2CC7F50010D4FF1DC5006F2436C7CCBB6A0E01D8,42295F18665D7DADB15E80E7CD9543E1483302F5,4D6C4A1B67F2EACE6B36C74C38763B496E24D3F55D333108222B4F4215E0E400,4E37A9DD6E6CCD52A8FC94657298072359021FE529017E232F4487693AD4697C,02738E38346837AF1FB5D756FD4FA9BA,rd03.shieldbase.com
1/27/2023 7:59 PM,HKLM\System\CurrentControlSet\Services,,,Services,System-wide,,,,,,,,,,,,,rd03.shieldbase.com
3/6/1933 6:11 PM,HKLM\System\CurrentControlSet\Services,AarSvc,enabled,Services,System-wide,Agent Activation Runtime: Runtime for activating conversational agent applications,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\aarsvc.dll,10.0.22000.832,%SystemRoot%\system32\svchost.exe -k AarSvcGroup -p,890B7055CF1F519607F6FF6B265FF8E2,CDE8D4D45E47E22DCA7FA567AF559D62CA48BAF5,E2A8596438F7223F94A58D2CCB08A2DB7FBBEC12,23D643CD05C7C75622AF5794A1520575FBFF1F83BC6428BA8BB7C5FF11E7B893,44AA86F944023103FB698C75CC3D17C6042460B7920663EFC41D1CD0E11EA8A6,64811AEFF0384842511E2A5AEC47D2B5,rd03.shieldbase.com
5/28/2012 5:57 AM,HKLM\System\CurrentControlSet\Services,AJRouter,enabled,Services,System-wide,AllJoyn Router Service: Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\ajrouter.dll,10.0.22000.1,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,F68FC619BBFA481E76F14E3889D709A3,9041BB78990BC841E03A33CE2E60F57EF615A937,628453D9B38881ACF059D3FC333E75C51ACABF67,4793E2810BEB361FED47F9633E3073E5F8673970D52C1AE6883836E4EF27904E,20519E717F1DBC4A4DAE2DC0A2F538A5A13E3F9A015CB59F72EB115C5E078DF9,271ED6BE2B719A2DD199A26D9A18977E,rd03.shieldbase.com
7/1/2012 12:08 PM,HKLM\System\CurrentControlSet\Services,ALG,enabled,Services,System-wide,Application Layer Gateway Service: Provides support for 3rd party protocol plug-ins for Internet Connection Sharing,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\alg.exe,10.0.22000.653,%SystemRoot%\System32\alg.exe,9B667827F7FD1916B7D984A8FB0C815E,A5BEBF03DDB8E11F1E1E41C76D220B70BA20E555,3278B216E7E56D9575AF2049939F3D799CDABFB8,FA0666404FBAB7472BECEE5893A19A274D5A25B735DCB7697A92487F86622504,2298DB90F7EB1EE3E73AB43D3B0A4D9E635CAF7429FA579BF6342E1D81ACF64E,0A7A2E70FF1C1295203CB6C0B3D76235,rd03.shieldbase.com
6/30/2022 11:24 AM,HKLM\System\CurrentControlSet\Services,Amazon EC2Launch,enabled,Services,System-wide,Amazon EC2Launch: Amazon EC2Launch,"(Verified) Amazon Web Services, Inc.","Amazon Web Services, Inc.",c:\program files\amazon\ec2launch\service\ec2launchservice.exe,1.0.0.1,"""C:\Program Files\Amazon\EC2Launch\service\EC2LaunchService.exe""",5CEA9DAB37550547B69C18802E423BC1,262A6E7A319093C2C18038A8FBB60A28D89B1180,08C6E303E2AEF5CA1E789D6BD3FB99F28D991428,060682488CD322D49B1D0982D54E3F5E1CF0169C0D6A74E42894B4CC3AEB6C57,20CF6F9C4822EBD6F62A49A126C17DD8A2B653503C0ADF5CBD4836548C1FC55C,2A35C35B8EE92E0F9BB55E92A7AA92A6,rd03.shieldbase.com
12/31/1969 7:00 PM,HKLM\System\CurrentControlSet\Services,AmazonSSMAgent,enabled,Services,System-wide,Amazon SSM Agent: Amazon SSM Agent,(Verified) Amazon.com Services LLC,,c:\program files\amazon\ssm\amazon-ssm-agent.exe,,"""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe""",5ECCA2836D2E0633CF92E69057AE5896,B580CAD9A9446EEF207DA481A045808BA0E4B3F8,0AE820D72FF3C3D92B51CE3CC701F75450410882,7E12BAF47AC1EC926E8933450D03FB2096AE076FB8D57272D82591E978710DB9,BF565F558C4088AEE9EB15D87ED7E836CE2B08AF59229DDF88F3D44101E01732,C7269D59926FA4252270F407E4DAB043,rd03.shieldbase.com
2/17/1935 8:42 AM,HKLM\System\CurrentControlSet\Services,AppIDSvc,enabled,Services,System-wide,Application Identity: Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\appidsvc.dll,10.0.22000.918,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,B25906836877517EFF580C4D77B04B7E,4087668AE261147190F5FF420E670F3EA9BC9655,7463242A7DE82278FB29438AED8F9D0FB4AEA366,73FE08C6B7B032AB991B4BD91B91A3CB9D4906A3597A9F76675119C43062B2B8,EBD732A739773B212AA523E7BECE3A85AF119A6AF5196DA7CBB8138FD88701B1,702DC0A14EC298F9B0B39D01E019FC17,rd03.shieldbase.com
12/17/2032 10:09 PM,HKLM\System\CurrentControlSet\Services,Appinfo,enabled,Services,System-wide,"Application Information: Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\appinfo.dll,10.0.22000.832,%SystemRoot%\system32\svchost.exe -k netsvcs -p,DCB1D23E59C262E89D6923E4F377E5CA,BF48928BFE5EA7E4514F516E5FED5217ED376478,9F6102F11D4A4A0A19B42B6E3476A376DFC890D4,8C843D6942090EE8E4CE3485E2ECD93DAF19E5E1785E70FDD1BACB7461B72165,998029146927D7BB662D27AE0C8EFF644DCA36CD33EC30E7A3508D58F6DB5FB6,EF12D1229DCE2565566F935021A00B1C,rd03.shieldbase.com
10/8/1949 2:12 AM,HKLM\System\CurrentControlSet\Services,AppMgmt,enabled,Services,System-wide,"Application Management: Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\appmgmts.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k netsvcs -p,D2E1EFE2614106FE25C074879FCF2647,AE60C4208C41655222E6D44F38AB989CDF9BA3A8,2EC38581B6408700383E476782F28CD4D780FC6D,5F994222823EFF751D23ED96946D37E9A33E4C73DB78EDEEAE76E73C3D724B4C,059324EE7C96C62318FB89BECED768E33C9472E7F0153FBA6A3753BC698382F5,56F33F0343B98215FDE620AA1050E4F4,rd03.shieldbase.com
